|Leise sil flehenmeine sil Lieder|67 68 1 67 72 67 65 67 1 65|0.34 12.65 0.02 0.34 1.5 0.5 0.34 15.65 0.02 0.34
|Durch sil dieNachtzu sil dir;In sil den|72 65 1 67 65 65 63 1 62 63|1.0 0.5 0.5 1.5 0.5 0.34 20.65 0.02 0.34 2.0
|sil stillenHainher sil niederLiebchen|1 67 68 1 67 75 67 65 67 1|7.0 0.34 30.65 0.02 0.34 1.5 0.5 0.34 33.65 0.02
|kommzu sil mir!Fl\374s sil terndschlankeWi|65 74 72 70 68 68 67 1 65 67|0.34 1.5 0.5 1.5 0.5 0.34 38.65 0.02 0.34 2.0
|pfelrauschenIn sil desMondesLicht;in|1 67 71 75 74 72 67 63 60 68|7.0 0.75 0.25 1.5 0.5 0.75 0.25 1.5 0.37 0.13
|sil des sil MondesLicht:DesVerr\344ters|70 68 1 67 68 72 68 67 65 67|54.0 0.31 0.02 0.33 0.34 1.5 0.5 2.87 0.13 60.0
|feindlichLauschenF\374rch sil te sil Holde|65 1 64 1 65 68 65 63 67 71|0.32 0.02 0.31 0.02 0.34 1.5 0.5 3.0 0.75 0.25
|nicht.F\374rchte sil Holdenicht.H\366rst sil die|75 74 72 67 64 60 69 71 69 1|1.5 0.5 0.75 0.25 1.5 0.36 0.14 72.0 0.32 0.02
|sil Nachtigallen sil schlagen?Ach! sil|68 1 69 72 69 67 74 73 1 74|0.31 0.02 0.34 1.5 0.5 3.0 0.34 78.65 0.02 0.34
|sieflehen sil dichMit sil der sil T\366|77 71 72 1 67 68 1 67 72 67|1.5 0.5 3.0 24.0 0.34 108.65 0.02 0.34 1.5 0.5
|nes\374\337en sil KlagenFlehensief\374r|65 67 1 65 72 65 1 67 65 65|0.34 111.65 0.02 0.34 1.0 0.5 0.5 1.5 0.5 0.34
|sil mich.Sie sil verstehndesBusensSeh|63 1 62 63 1 67 68 1 67 75|116.65 0.02 0.34 2.0 7.0 0.34 126.65 0.02 0.34 1.5
|nenKen sil nen sil LiebesschmerzKen sil|67 65 67 1 65 74 72 70 68 68|0.5 0.34 129.65 0.02 0.34 1.5 0.5 1.5 0.5 0.34
|nen sil LiebesschmerzR\374hrenmitdenSil|67 1 65 67 1 67 71 75 74 72|134.65 0.02 0.34 2.0 7.0 0.75 0.25 1.5 0.5 0.75
|bert\366nenJe sil des sil weicheHerz.|67 63 60 68 70 68 1 67 1 68|0.25 1.5 0.37 0.13 150.0 0.32 0.02 0.31 0.02 0.34
|jedes sil weicheHerz.La\337auchdirdie|72 68 67 65 67 65 1 64 1 65|1.5 0.5 2.87 0.13 156.0 0.32 0.02 0.31 0.02 0.34
|BrustbewegenLieb sil chenh\366remich!|68 65 63 67 71 75 74 72 67 64|1.5 0.5 3.0 0.75 0.25 1.5 0.5 0.75 0.25 1.5
|Be sil bendharr'ich sil direntgegen!|60 69 71 69 1 68 1 69 72 69|0.36 0.14 168.0 0.32 0.02 0.31 0.02 0.34 1.5 0.5
|sil Komm sil be sil gl\374ckemich!Kommbe|67 74 73 1 74 77 71 72 67 67|3.0 0.34 174.65 0.02 0.34 1.5 0.5 3.0 0.75 0.25
|sil gl\374ckemich!be sil gl\374ckemich!|71 71 74 74 72 71 1 67 71 74|0.75 0.25 0.75 0.25 1.0 1.0 1.0 1.5 0.5 0.75
||72 71 1 76 74 74 72 1 71 69|0.25 2.0 1.0 1.5 0.5 0.34 194.65 0.02 0.34 0.75
||71 72 69 1 69 71 69 1 68 1|0.25 1.0 0.5 6.36 0.14 204.0 0.32 0.02 0.31 0.02
||69 72 69 67 74 73 1 74 77 71|0.34 1.5 0.5 3.0 0.34 210.65 0.02 0.34 1.5 0.5
||72 1 72 68 67 64|4.0 1.0 1.0 3.0 3.0 2.0
